Code,Title,points_r1_2021,points_r2_2021,points_r1_2020,points_r2_2020,EOS,Mid
DN401,Medicine - Graduate Entry (GAMSAT required),61,,,,59,61
DN410,Radiography,566,566,534,532,507,522
DN411,Radiography - Graduate Entry,,,,,,
DN420,Physiotherapy,601,601,578,577,542,555
DN425,Health and Performance Science,544,543,510,509,488,509
DN430,Sport and Exercise Management,484,476,455,445,436,455
DN440,Biomedical  Health and Life Sciences,613,613,590,589,565,579
DN450,General Nursing,462,,429,424,398,420
DN451,Children`s and General Nursing (Integrated),533,,509,506,462,499
DN452,Midwifery,510,509,489,476,409,452
DN453,Mental Health Nursing,442,,397,393,379,403
DN520,Joint Honours (options),381,378,310,,336,408
DN530,Humanities (options),397,388,340,336,348,411
DN541,Modern Languages (options),320,,303,,348,412
DN600,Law (options),576,567,546,544,520,532
DN610,Business and Law,573,567,545,,521,543
DN650,Commerce,555,,521,521,498,510
DN660,Commerce International (options),555,554,517,511,507,531
DN670,Economics and Finance,625,625,613,,601,601
DN700,Social Sciences (options),475,474,421,419,388,441
DN710,Economics,534,532,498,498,476,488
DN720,Psychology,566,564,530,522,517,531
DN750,Social Policy and Sociology,421,,378,,330,366
DK810,Accounting and Finance,307,307,305,305,306,391
DK816,Business Studies,301,301,300,300,300,357
DK820,Computing in Games Development,309,309,311,311,307,369
DK821,Computing in Software Development,320,316,302,302,301,347
DK822,Augmented and Virtual Reality,320,320,307,,,
DK830,Building Surveying,305,,336,,302,349
DK831,Architectural Technology,368,314,389,,301,366
DK832,Construction Management,358,305,387,,300,329
DK843,Engineering (Common Entry),404,391,340,340,303,402
DK844,Mechanical Engineering,336,336,305,305,,
DK845,Electrical and Electronic Engineering,331,331,304,304,,
DK846,Civil Engineering,371,371,391,361,,
DK850,International Tourism Management,303,303,317,317,,
DK861,Arts,302,302,302,302,300,358
DK862,Social Care,322,319,301,,300,338
DK863,Creative Media,336,320,308,308,300,376
DK864,Film and Television Production,308,,300,300,300,332
DK865,Audio and Music Production,352,,301,,301,346
DK870,General Nursing,440,440,403,401,392,401
DK872,Intellectual Disability Nursing,367,366,336,,300,317
DK874,Mental Health Nursing,398,,356,,356,378
DK876,Early Childhood Studies,300,,321,,305,359
DK877,Midwifery,482,477,440,,398,441
DK880,Health and Physical Activity,301,,328,,300,367
DK882,Agriculture (Award options),342,,310,,303,358
DK883,Science (Award options),373,368,358,321,300,369 
DK884,Sustainable Agriculture,348,,,,,
DK885,Agri-Food Production,,,,,,
DK886,Biopharmaceutical Science,379,,301,,,
DK887,Environmental Science,377,,330,,,
GA181,Accounting,303,,309,,303,378
GA182,Business,285,,287,,290,347
GA183,Business Information Systems,298,,296,,309,373
GA184,Marketing and Sales,300,,307,,307,348
GA185,Finance and Economics,318,,293,,307,398
GA186,Business with Entrepreneurship,287,,280,,297,328
GA187,Rural Enterprise and Agri-Business,291,,281,,280,367
GA281,Film and Documentary,310,301,304,,287,360
GA282,Heritage Studies,252,,220,,238,308
GA283,Contemporary Art (portfolio),790,,679,,260,340
GA284,Design,331,,303,,309,377
GA285,Education (Art  Design and Graphics),406,,,,,
GA380,International Hotel Management,218,,242,,225,289
GA381,International Tourism Management,252,,278,,261,290
GA382,Culinary and Gastronomic Science,235,,206,,225,316
GA384,Event Management with Public Relations,230,,212,,209,289
GA480,Construction Management,302,,260,,260,312
GA482,Quantity Surveying and Construction Economics,304,,288,,280,340
GA483,Architectural Technology,281,273,265,,251,321
GA484,Civil Engineering,377,,290,,270,362
GA580,Software and Electronic Engineering,300,,300,,301,351
GA680,Mechanical Engineering,400,,330,,336,389
GA681,Energy Engineering,312,,293,,281,328
GA682,Biomedical Engineering,331,,313,,331,383
GA683,Agricultural Engineering,304,,309,,301,365
GA684,Engineering Common Entry to Manu/Agri/Biomed/Energ,413,,340,,346,406
GA685,Manufacturing Engineering Design,336,,309,,,
GA780,Applied Freshwater and Marine Biology,366,,327,,300,360
GA781,Applied Biology and Biopharmaceutical Science,381,,337,,317,376
GA782,Chemical and Pharmaceutical Science,356,,336,,307,346
GA783,Physics and Instrumentation,301,,363,,373,378
GA784,Science (Undenominated),445,,372,,327,377
GA785,Medical Science,517,510,473,,451,486
GA786,Forensic Science and Analysis,408,,317,,300,366
GA787,Computing in Software Development,310,,270,,275,327
GA788,Computing and Digital Media,270,,274,,270,327
GA789,Agriculture and Environmental Management,340,,287,,297,339
GA790,Sport and Exercise Science,376,366,356,,350,379
GA791,Public Health Nutrition,368,,368,,364,397
GA880,General Nursing,440,,429,422,389,400
GA882,Psychiatric Nursing,369,,367,,346,370
GA885,Outdoor Education,269,,252,,210,298
GA887,History and Geography,201,,244,,228,296
GA889,Applied Social Care,265,,266,,260,297
GA890,Early Childhood Education and Care,281,227,270,,278,319
GA891,Geography and Outdoor Education,261,,244,,,
GA892,Community Development and Youth Work (Level 8),,,,,,
GA980,Education (Design Graphics and Construction),410,,377,,376,389
GA981,Furniture Design and Manufacture,346,,,,271,350
GA982,Furniture Making and Architectural Woodworking,360,,,,270,352
GA983,Furniture and Digital Manufacturing,,,,,,
GA984,Furniture Design  Making and Technology - Common E,486,467,284,,,
GY101,Arts (Joint-Honours),327,326,300,,300,374
GY104,BSc (Psychology),564,555,523,520,507,529
GY105,Arts (History),357,,301,,318,358
GY109,Arts (Mathematics and Education),413,,403,,411,487
GY110,Arts (Children and Youth Studies - options),387,,357,,382,409
GY111,Arts (English and Creative Writing),421,420,330,,402,472
GY113,Arts with Human Rights,413,,368,,338,409
GY115,Arts with Performing Arts Studies,300,,387,,328,367
GY118,Arts (Drama  Theatre and Performance Studies),453,430,451,,410,451
GY119,Arts (Journalism),484,473,400,,410,475
GY122,Na DÃ¡na (CumarsÃ¡id agus Gaeilge),410,,361,,308,399
GY123,Applied Social Sciences,419,,358,,357,388
GY125,Arts (Digital Arts and Technology),403,,328,,324,379
GY127,Arts (Film and Digital Media),430,421,401,,387,435
GY128,Arts (Global Languages),346,,352,,370,440
GY129,Arts (Global Experience),465,,420,,408,477
GY130,Arts (Music),462,,408,,400,444
GY132,Government (Politics  Economics and Law),465,451,407,,402,444
GY133,Education (Computer Science and Mathematical Studi,454,,422,,401,466
GY134,Geography and Geosystems,425,,410,,,
GY135,Arts (Global Media),442,,,,,
GY136,Na DÃ¡na (LÃ©ann Teanga - options),526,,,,,
GY201,Commerce,476,,433,,420,453
GY202,Commerce (International) with French,520,,484,,484,513
GY203,Commerce (International) with German,518,,489,,489,541
GY204,Commerce (International) with Spanish,506,,495,,484,500
GY206,Business Information Systems (Work Placement and O,509,,465,,431,445
GY207,Commerce (Accounting) including optional Global Ex,543,,509,,486,510
GY208,Commerce (Gaeilge),508,,473,,473,488
GY209,Commerce (Global Experience),551,,530,,509,531
GY250,Law and Business,510,,487,,436,467
GY251,Law (BCL),542,,499,,473,498
GY252,Law (BCL) and Human Rights,565,,520,,510,521
GY253,Law and Taxation,506,,509,,,
GY254,Law (BCL)  Criminology and Criminal Justice,548,,530,,,
GY261,Business Studies in International Hotel Management,503,,497,,486,615
GY262,Commerce in International Hotel Management (interv,709,,681,,671,726
GY301,Science,489,488,433,432,400,456
GY303,Biomedical Science,613,,556,,533,566
GY304,Biotechnology,498,495,465,,473,507
GY308,Environmental Science,431,430,408,,413,440
GY309,Financial Mathematics and Economics,509,,487,,454,498
GY310,Marine Science,467,,419,,409,456
GY313,Environmental Health and Safety,412,,412,,402,435
